celltype	X12.020.36_pretreatment_CD4M	X12.020.36_pretreatment_CD4N	X12.020.36_posttreatment_CD4M	X12.020.36_posttreatment_CD4N	X12.020.44_pretreatment_CD4M	X12.020.44_pretreatment_CD4N	X12.020.44_posttreatment_CD4M	X12.020.44_posttreatment_CD4N	X12.020.45_pretreatment_CD4M	X12.020.45_pretreatment_CD4N	X12.020.45_posttreatment_CD4M	X12.020.45_posttreatment_CD4N	X12.020.53_pretreatment_CD4M	X12.020.53_posttreatment_CD4M	X12.020.53_posttreatment_CD4N	X12.020.56_pretreatment_CD4M	X12.020.56_pretreatment_CD4N	X12.020.56_posttreatment_CD4M	X12.020.56_posttreatment_CD4N	X12.020.88_pretreatment_CD4M	X12.020.88_pretreatment_CD4N	X12.020.88_posttreatment_CD4M	X12.020.88_posttreatment_CD4N	X12.284.2_pretreatment_CD4M	X12.284.2_pretreatment_CD4N	X12.284.2_posttreatment_CD4M	X12.284.2_posttreatment_CD4N	X12.284.7_pretreatment_CD4M	X12.284.7_posttreatment_CD4M	X12.284.7_posttreatment_CD4N
Naive	0	0.36	0	0.15	0	0.26	0	0.24	0	0.25	0	0.18	0	0	0.35	0	0.24	0	0.28	0	0.02	0	0.04	0	0.05	0	0.1	0	0	0.3
Th1	0.08	0	0.06	0	0.09	0	0.06	0	0	0.02	0.03	0	0.03	0.22	0	0	0	0	0	0.25	0.13	0.5	0.32	0.34	0.02	0.43	0.2	0	0	0
Th2	0.14	0.3	0.17	0.36	0.22	0.36	0.29	0.46	0.33	0.3	0.32	0.26	0.24	0.17	0.33	0.34	0.34	0.4	0.34	0.24	0.39	0.09	0.26	0.01	0.3	0	0.23	0.28	0.35	0.36
Th17	0.46	0.08	0.5	0.18	0.41	0.08	0.39	0.03	0.27	0.07	0.24	0.17	0.41	0.52	0.11	0.37	0.12	0.27	0.06	0.15	0.05	0.08	0	0.34	0.2	0.28	0.18	0.52	0.36	0.07
Treg	0.32	0.26	0.27	0.31	0.28	0.3	0.26	0.27	0.4	0.36	0.4	0.39	0.32	0.09	0.21	0.3	0.3	0.34	0.32	0.36	0.42	0.33	0.39	0.31	0.42	0.29	0.29	0.2	0.29	0.27
