celltype	X12.020.36_pretreatment_CD4M	X12.020.36_pretreatment_CD4N	X12.020.36_posttreatment_CD4M	X12.020.36_posttreatment_CD4N	X12.020.44_pretreatment_CD4M	X12.020.44_pretreatment_CD4N	X12.020.44_posttreatment_CD4M	X12.020.44_posttreatment_CD4N	X12.020.45_pretreatment_CD4M	X12.020.45_pretreatment_CD4N	X12.020.45_posttreatment_CD4M	X12.020.45_posttreatment_CD4N	X12.020.53_pretreatment_CD4M	X12.020.53_posttreatment_CD4M	X12.020.53_posttreatment_CD4N	X12.020.56_pretreatment_CD4M	X12.020.56_pretreatment_CD4N	X12.020.56_posttreatment_CD4M	X12.020.56_posttreatment_CD4N	X12.020.88_pretreatment_CD4M	X12.020.88_pretreatment_CD4N	X12.020.88_posttreatment_CD4M	X12.020.88_posttreatment_CD4N	X12.284.2_pretreatment_CD4M	X12.284.2_pretreatment_CD4N	X12.284.2_posttreatment_CD4M	X12.284.2_posttreatment_CD4N	X12.284.7_pretreatment_CD4M	X12.284.7_posttreatment_CD4M	X12.284.7_posttreatment_CD4N
Naive	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
Th1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th1-17	0.29	0.2	0.32	0.18	0.25	0.14	0.33	0.22	0.23	0.2	0.31	0.23	0.19	0.38	0.14	0.24	0.17	0.3	0.26	0.23	0.21	0.31	0.23	0.27	0.2	0.28	0.25	0.3	0.25	0.23
Th2	0.31	0.47	0.33	0.48	0.3	0.43	0.34	0.49	0.37	0.47	0.39	0.4	0.34	0.28	0.49	0.34	0.4	0.37	0.43	0.39	0.47	0.32	0.43	0.33	0.48	0.27	0.47	0.34	0.34	0.42
Th17	0.12	0	0.11	0.02	0.15	0.05	0.1	0	0.11	0.04	0.04	0.05	0.1	0.17	0	0.17	0.09	0.09	0	0.11	0.05	0.06	0.04	0.09	0.02	0.17	0.03	0.15	0.12	0
Treg	0.28	0.33	0.25	0.31	0.3	0.35	0.23	0.29	0.29	0.29	0.27	0.31	0.37	0.17	0.29	0.26	0.33	0.25	0.31	0.27	0.26	0.31	0.3	0.3	0.3	0.29	0.25	0.21	0.29	0.33
