celltype	X12.020.36_pretreatment_CD4M	X12.020.36_pretreatment_CD4N	X12.020.36_posttreatment_CD4M	X12.020.36_posttreatment_CD4N	X12.020.44_pretreatment_CD4M	X12.020.44_pretreatment_CD4N	X12.020.44_posttreatment_CD4M	X12.020.44_posttreatment_CD4N	X12.020.45_pretreatment_CD4M	X12.020.45_pretreatment_CD4N	X12.020.45_posttreatment_CD4M	X12.020.45_posttreatment_CD4N	X12.020.53_pretreatment_CD4M	X12.020.53_posttreatment_CD4M	X12.020.53_posttreatment_CD4N	X12.020.56_pretreatment_CD4M	X12.020.56_pretreatment_CD4N	X12.020.56_posttreatment_CD4M	X12.020.56_posttreatment_CD4N	X12.020.88_pretreatment_CD4M	X12.020.88_pretreatment_CD4N	X12.020.88_posttreatment_CD4M	X12.020.88_posttreatment_CD4N	X12.284.2_pretreatment_CD4M	X12.284.2_pretreatment_CD4N	X12.284.2_posttreatment_CD4M	X12.284.2_posttreatment_CD4N	X12.284.7_pretreatment_CD4M	X12.284.7_posttreatment_CD4M	X12.284.7_posttreatment_CD4N
Naive	0.04	0.38	0	0.26	0	0.33	0	0.34	0.04	0.27	0	0.3	0	0	0.39	0.05	0.33	0	0.32	0	0.12	0	0.12	0	0.13	0	0.16	0	0	0.36
Th1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.19	0.05	0.34	0.22	0.17	0	0.27	0.1	0	0	0
Th1-17	0.32	0.19	0.39	0.21	0.42	0.2	0.38	0.19	0.19	0.19	0.24	0.17	0.34	0.39	0.2	0.28	0.18	0.28	0.19	0.26	0.24	0.28	0.22	0.39	0.29	0.41	0.19	0.3	0.22	0.16
Th2	0.23	0.26	0.23	0.33	0.28	0.31	0.32	0.35	0.35	0.37	0.31	0.25	0.28	0.24	0.32	0.31	0.32	0.36	0.29	0.29	0.36	0.14	0.24	0.16	0.36	0.1	0.31	0.29	0.34	0.32
Th17	0.23	0	0.25	0.05	0.13	0	0.16	0	0.15	0	0.14	0.06	0.21	0.3	0	0.21	0.01	0.14	0	0	0	0	0	0.08	0	0.03	0.06	0.31	0.26	0
Treg	0.17	0.17	0.14	0.15	0.16	0.16	0.14	0.12	0.27	0.17	0.3	0.22	0.17	0.04	0.08	0.16	0.17	0.23	0.2	0.25	0.22	0.24	0.2	0.19	0.21	0.19	0.18	0.1	0.19	0.16
