celltype	X12.020.36_pretreatment_CD4M	X12.020.36_pretreatment_CD4N	X12.020.36_posttreatment_CD4M	X12.020.36_posttreatment_CD4N	X12.020.44_pretreatment_CD4M	X12.020.44_pretreatment_CD4N	X12.020.44_posttreatment_CD4M	X12.020.44_posttreatment_CD4N	X12.020.45_pretreatment_CD4M	X12.020.45_pretreatment_CD4N	X12.020.45_posttreatment_CD4M	X12.020.45_posttreatment_CD4N	X12.020.53_pretreatment_CD4M	X12.020.53_posttreatment_CD4M	X12.020.53_posttreatment_CD4N	X12.020.56_pretreatment_CD4M	X12.020.56_pretreatment_CD4N	X12.020.56_posttreatment_CD4M	X12.020.56_posttreatment_CD4N	X12.020.88_pretreatment_CD4M	X12.020.88_pretreatment_CD4N	X12.020.88_posttreatment_CD4M	X12.020.88_posttreatment_CD4N	X12.284.2_pretreatment_CD4M	X12.284.2_pretreatment_CD4N	X12.284.2_posttreatment_CD4M	X12.284.2_posttreatment_CD4N	X12.284.7_pretreatment_CD4M	X12.284.7_posttreatment_CD4M	X12.284.7_posttreatment_CD4N
Naive	0	0.36	0	0.17	0	0.27	0	0.27	0	0.26	0	0.18	0	0	0.36	0	0.23	0	0.28	0	0.03	0	0.04	0	0.04	0	0.11	0	0	0.3
Th1	0	0	0.09	0	0.05	0	0.03	0	0	0	0	0	0	0.22	0.01	0	0	0	0	0.23	0.09	0.49	0.29	0.32	0	0.4	0.19	0	0	0
Th2	0.19	0.28	0.18	0.34	0.24	0.36	0.33	0.44	0.35	0.29	0.34	0.26	0.23	0.19	0.35	0.31	0.35	0.33	0.31	0.25	0.4	0.1	0.27	0.04	0.34	0.01	0.26	0.29	0.33	0.34
Th17	0.45	0.07	0.43	0.16	0.4	0.08	0.38	0.01	0.24	0.12	0.25	0.16	0.42	0.5	0.08	0.37	0.09	0.29	0.07	0.13	0.02	0.05	0	0.31	0.17	0.26	0.15	0.47	0.36	0.08
Treg	0.35	0.28	0.3	0.33	0.32	0.3	0.27	0.28	0.41	0.34	0.41	0.4	0.34	0.09	0.19	0.32	0.33	0.38	0.34	0.4	0.47	0.36	0.4	0.33	0.44	0.33	0.28	0.24	0.31	0.28
