celltype	X12.020.36_pretreatment_CD4M	X12.020.36_pretreatment_CD4N	X12.020.36_pretreatment_CD8M	X12.020.36_pretreatment_CD8N	X12.020.36_posttreatment_CD4M	X12.020.36_posttreatment_CD4N	X12.020.36_posttreatment_CD8M	X12.020.36_posttreatment_CD8N	X12.020.44_pretreatment_CD4M	X12.020.44_pretreatment_CD4N	X12.020.44_pretreatment_CD8M	X12.020.44_pretreatment_CD8N	X12.020.44_posttreatment_CD4M	X12.020.44_posttreatment_CD4N	X12.020.44_posttreatment_CD8M	X12.020.44_posttreatment_CD8N	X12.020.45_pretreatment_CD4M	X12.020.45_pretreatment_CD4N	X12.020.45_pretreatment_CD8M	X12.020.45_posttreatment_CD4M	X12.020.45_posttreatment_CD4N	X12.020.45_posttreatment_CD8M	X12.020.45_posttreatment_CD8N	X12.020.53_pretreatment_CD4M	X12.020.53_pretreatment_CD8M	X12.020.53_posttreatment_CD4M	X12.020.53_posttreatment_CD4N	X12.020.53_posttreatment_CD8M	X12.020.53_posttreatment_CD8N	X12.020.56_pretreatment_CD4M	X12.020.56_pretreatment_CD4N	X12.020.56_pretreatment_CD8M	X12.020.56_pretreatment_CD8N	X12.020.56_posttreatment_CD4M	X12.020.56_posttreatment_CD4N	X12.020.56_posttreatment_CD8M	X12.020.56_posttreatment_CD8N	X12.020.88_pretreatment_CD4M	X12.020.88_pretreatment_CD4N	X12.020.88_pretreatment_CD8M	X12.020.88_pretreatment_CD8N	X12.020.88_posttreatment_CD4M	X12.020.88_posttreatment_CD4N	X12.020.88_posttreatment_CD8M	X12.020.88_posttreatment_CD8N	X12.284.2_pretreatment_CD4M	X12.284.2_pretreatment_CD4N	X12.284.2_pretreatment_CD8M	X12.284.2_pretreatment_CD8N	X12.284.2_posttreatment_CD4M	X12.284.2_posttreatment_CD4N	X12.284.2_posttreatment_CD8M	X12.284.2_posttreatment_CD8N	X12.284.7_pretreatment_CD4M	X12.284.7_pretreatment_CD8M	X12.284.7_posttreatment_CD4M	X12.284.7_posttreatment_CD4N	X12.284.7_posttreatment_CD8M	X12.284.7_posttreatment_CD8N
Naive	0.07	0.53	0	0.15	0	0.39	0	0.17	0	0.5	0	0	0.02	0.55	0	0	0.14	0.45	0.05	0.08	0.4	0.1	0.26	0	0	0.01	0.5	0	0.04	0.13	0.49	0	0.3	0.06	0.49	0	0.31	0	0.23	0	0	0	0.19	0	0	0	0.22	0	0	0	0.22	0	0	0	0	0.1	0.55	0	0.24
Th1	0.24	0.14	0.79	0.68	0.29	0.13	0.79	0.71	0.31	0.08	0.84	0.82	0.25	0.08	0.82	0.85	0.12	0.11	0.64	0.19	0.09	0.66	0.5	0.23	0.78	0.36	0.19	0.89	0.86	0.15	0.03	0.76	0.44	0.18	0.06	0.78	0.47	0.51	0.39	0.76	0.78	0.65	0.57	0.76	0.78	0.47	0.26	0.81	0.8	0.54	0.36	0.84	0.85	0.16	0.65	0.11	0.06	0.74	0.59
Th17	0.51	0.18	0	0	0.56	0.28	0.02	0	0.5	0.21	0	0	0.53	0.19	0.02	0	0.41	0.24	0.08	0.39	0.26	0.03	0.07	0.56	0	0.57	0.18	0	0	0.53	0.25	0.05	0.11	0.46	0.18	0	0.01	0.23	0.12	0	0	0.11	0	0	0	0.33	0.26	0	0	0.28	0.23	0	0	0.7	0.24	0.56	0.2	0.02	0
Treg	0.19	0.15	0.21	0.17	0.15	0.2	0.19	0.13	0.19	0.21	0.16	0.18	0.19	0.19	0.15	0.15	0.33	0.2	0.23	0.34	0.25	0.2	0.17	0.21	0.22	0.06	0.13	0.11	0.1	0.19	0.22	0.2	0.16	0.3	0.27	0.22	0.2	0.26	0.27	0.24	0.22	0.25	0.24	0.24	0.22	0.2	0.25	0.19	0.2	0.18	0.18	0.16	0.15	0.13	0.1	0.23	0.2	0.24	0.17
