celltype	X12.020.36_pretreatment_CD4M	X12.020.36_pretreatment_CD4N	X12.020.36_posttreatment_CD4M	X12.020.36_posttreatment_CD4N	X12.020.44_pretreatment_CD4M	X12.020.44_pretreatment_CD4N	X12.020.44_posttreatment_CD4M	X12.020.44_posttreatment_CD4N	X12.020.45_pretreatment_CD4M	X12.020.45_pretreatment_CD4N	X12.020.45_posttreatment_CD4M	X12.020.45_posttreatment_CD4N	X12.020.53_pretreatment_CD4M	X12.020.53_posttreatment_CD4M	X12.020.53_posttreatment_CD4N	X12.020.56_pretreatment_CD4M	X12.020.56_pretreatment_CD4N	X12.020.56_posttreatment_CD4M	X12.020.56_posttreatment_CD4N	X12.020.88_pretreatment_CD4M	X12.020.88_pretreatment_CD4N	X12.020.88_posttreatment_CD4M	X12.020.88_posttreatment_CD4N	X12.284.2_pretreatment_CD4M	X12.284.2_pretreatment_CD4N	X12.284.2_posttreatment_CD4M	X12.284.2_posttreatment_CD4N	X12.284.7_pretreatment_CD4M	X12.284.7_posttreatment_CD4M	X12.284.7_posttreatment_CD4N
Naive	0.02	0.43	0	0.19	0	0.29	0	0.25	0.01	0.23	0	0.26	0	0	0.35	0	0.29	0	0.27	0	0.06	0	0.09	0	0.1	0	0.13	0	0	0.32
Th1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0.08	0.4	0.29	0.22	0	0.26	0.14	0	0	0
Th1-17	0.35	0.15	0.4	0.27	0.45	0.22	0.42	0.22	0.18	0.21	0.23	0.17	0.35	0.42	0.2	0.32	0.2	0.29	0.2	0.25	0.23	0.23	0.17	0.36	0.29	0.39	0.19	0.34	0.24	0.16
Th2	0.21	0.27	0.24	0.38	0.29	0.33	0.32	0.4	0.37	0.39	0.3	0.28	0.3	0.26	0.32	0.34	0.33	0.37	0.31	0.29	0.39	0.12	0.25	0.11	0.37	0.07	0.29	0.32	0.37	0.36
Th17	0.24	0	0.22	0	0.09	0	0.1	0	0.15	0	0.14	0.07	0.17	0.26	0	0.17	0	0.11	0	0	0	0	0	0.11	0	0.08	0.06	0.23	0.2	0
Treg	0.19	0.15	0.13	0.16	0.18	0.17	0.16	0.14	0.28	0.17	0.33	0.22	0.18	0.07	0.13	0.17	0.18	0.24	0.21	0.25	0.24	0.24	0.2	0.21	0.24	0.2	0.18	0.11	0.19	0.16
